StartServers,MaxKeepAliveRequests,Timeout,KeepAliveTimeout,MaxClients,KeepAlive,UseCanonicalName,HostnameLookups,ExeTime
1,63,32,63,4,Off,On,Off,200723
1,63,32,63,20,On,Off,On,212216
1,63,32,63,36,Off,Off,Off,205013
1,63,32,94,4,On,Off,Off,201357
1,63,32,94,20,Off,On,On,210366
1,63,32,94,36,On,On,Off,203644
1,63,63,1,4,On,On,On,211191
1,63,63,1,20,Off,Off,Off,203960
1,63,63,1,36,On,Off,On,207297
1,63,63,32,4,Off,On,Off,206499
1,63,63,32,20,On,On,On,208972
1,63,63,32,36,Off,Off,On,208431
1,63,63,63,4,On,Off,Off,204596
1,63,63,63,20,Off,On,On,209284
1,63,63,63,36,On,On,Off,201003
1,63,63,94,4,Off,Off,On,209272
1,63,63,94,20,On,Off,Off,204105
1,63,63,94,36,Off,On,Off,202478
1,63,94,1,4,On,Off,On,211513
1,63,94,1,20,Off,On,Off,203069
1,63,94,1,36,On,On,On,212401
1,63,94,32,4,Off,Off,Off,201992
1,63,94,32,20,On,Off,On,213197
1,63,94,32,36,Off,On,On,210627
1,63,94,63,4,On,On,Off,204638
1,63,94,63,20,Off,Off,On,210315
1,63,94,63,36,On,Off,Off,202181
1,63,94,94,4,Off,On,On,213090
1,63,94,94,20,On,On,Off,203225
1,63,94,94,36,Off,Off,Off,203000
1,94,1,1,4,On,Off,On,214513
1,94,1,1,20,Off,On,Off,202241
1,94,1,1,36,On,On,On,212863
1,94,1,32,4,Off,Off,Off,203276
1,94,1,32,20,On,Off,On,209958
1,94,1,32,36,Off,On,On,213994
1,94,1,63,4,On,On,Off,204024
1,94,1,63,20,Off,Off,On,206057
1,94,1,63,36,On,Off,Off,202739
1,94,1,94,4,Off,On,On,210346
1,94,1,94,20,On,On,Off,203437
1,94,1,94,36,Off,Off,Off,205454
1,94,32,1,4,Off,Off,Off,203442
1,94,32,1,20,On,Off,Off,203019
1,94,32,1,36,Off,On,On,206985
1,94,32,32,4,On,On,Off,205648
1,94,32,32,20,Off,On,On,211174
1,94,32,32,36,On,Off,On,209474
1,94,32,63,4,Off,On,On,210929
1,94,32,63,20,On,On,On,206886
1,94,32,63,36,Off,Off,Off,202271
1,94,32,94,4,On,Off,On,207448
1,94,32,94,20,Off,Off,On,208644
1,94,32,94,36,On,On,Off,204718
1,94,63,1,4,On,On,Off,206460
1,94,63,1,20,Off,Off,On,212427
1,94,63,1,36,On,Off,Off,205026
1,94,63,32,4,Off,On,On,207039
1,94,63,32,20,On,On,Off,204758
1,94,63,32,36,Off,Off,Off,202944
1,94,63,63,4,On,Off,On,209162
1,94,63,63,20,Off,On,Off,209370
1,94,63,63,36,On,On,On,210078
1,94,63,94,4,Off,Off,Off,202380
1,94,63,94,20,On,Off,On,212701
1,94,63,94,36,Off,On,On,214056
1,94,94,1,4,On,Off,Off,201058
1,94,94,1,20,Off,On,On,212115
1,94,94,1,36,On,On,Off,208981
1,94,94,32,4,Off,Off,On,208452
1,94,94,32,20,On,Off,Off,205553
1,94,94,32,36,Off,On,Off,203465
1,94,94,63,4,On,On,On,214663
1,94,94,63,20,Off,Off,Off,206474
1,94,94,63,36,On,Off,On,211477
1,94,94,94,4,Off,On,Off,202940
1,94,94,94,20,On,Off,On,211643
1,94,94,94,36,Off,Off,On,212884
20,1,1,1,4,Off,On,Off,207204
20,1,1,1,20,On,Off,On,209845
20,1,1,1,36,Off,Off,Off,205971
20,1,1,32,4,On,On,On,211522
20,1,1,32,20,Off,Off,Off,203850
20,1,1,32,36,On,Off,Off,206147
20,1,1,63,4,Off,Off,On,210620
20,1,1,63,20,On,On,Off,203986
20,1,1,63,36,Off,On,On,209354
20,1,1,94,4,On,Off,Off,205072
20,1,1,94,20,Off,On,On,207386
20,1,1,94,36,On,On,On,211227
20,1,32,1,4,On,Off,Off,203001
20,1,32,1,20,Off,On,On,208444
20,1,32,1,36,On,On,Off,204245
20,1,32,32,4,Off,Off,On,212657
20,1,32,32,20,On,Off,On,207191
20,1,32,32,36,Off,On,Off,207285
20,1,32,63,4,On,On,On,210822
20,1,32,63,20,Off,Off,Off,202326
20,1,32,63,36,On,Off,On,210798
20,1,32,94,4,Off,On,Off,200955
20,1,32,94,20,On,Off,On,213060
20,1,32,94,36,Off,Off,Off,207728
20,1,63,1,4,Off,Off,On,211433
20,1,63,1,20,On,On,Off,205609
20,1,63,1,36,Off,On,On,214913
20,1,63,32,4,On,On,Off,202344
20,1,63,32,20,Off,On,On,210039
20,1,63,32,36,On,Off,On,209470
20,1,63,63,4,Off,On,Off,206694
20,1,63,63,20,On,Off,On,209220
20,1,63,63,36,Off,Off,Off,202121
20,1,63,94,4,On,Off,On,208365
20,1,63,94,20,Off,Off,Off,202451
20,1,63,94,36,On,On,Off,201143
20,1,94,1,4,Off,On,On,209836
20,1,94,1,20,On,Off,Off,203228
20,1,94,1,36,Off,Off,On,210087
20,1,94,32,4,On,Off,Off,204366
20,1,94,32,20,Off,On,On,211526
20,1,94,32,36,On,On,Off,200736
20,1,94,63,4,Off,Off,Off,201896
20,1,94,63,20,On,On,On,208867
20,1,94,63,36,Off,On,Off,198746
20,1,94,94,4,On,On,On,206426
20,1,94,94,20,Off,Off,Off,199311
20,1,94,94,36,On,Off,On,209036
20,32,1,1,4,On,On,On,212315
20,32,1,1,20,Off,Off,Off,204997
20,32,1,1,36,On,Off,On,209306
20,32,1,32,4,Off,On,Off,203872
20,32,1,32,20,On,On,Off,205539
20,32,1,32,36,Off,Off,On,212251
20,32,1,63,4,On,Off,Off,205867
20,32,1,63,20,Off,On,On,208707
20,32,1,63,36,On,On,Off,204340
20,32,1,94,4,Off,Off,On,212464
20,32,1,94,20,On,Off,On,212038
20,32,1,94,36,Off,On,Off,205906
20,32,32,1,4,Off,On,Off,201413
20,32,32,1,20,On,On,Off,203925
20,32,32,1,36,Off,Off,On,211146
20,32,32,32,4,On,Off,Off,205599
20,32,32,32,20,Off,Off,On,205181
20,32,32,32,36,On,On,On,206868
20,32,32,63,4,Off,On,Off,201922
20,32,32,63,20,On,Off,On,210310
20,32,32,63,36,Off,Off,Off,208870
20,32,32,94,4,On,On,On,210574
20,32,32,94,20,Off,On,Off,205628
20,32,32,94,36,On,Off,Off,206492
20,32,63,1,4,On,Off,Off,205189
20,32,63,1,20,Off,On,On,209466
20,32,63,1,36,On,On,Off,204812
20,32,63,32,4,Off,Off,On,211551
20,32,63,32,20,On,Off,Off,203618
20,32,63,32,36,Off,On,Off,202568
20,32,63,63,4,On,On,On,208903
20,32,63,63,20,Off,Off,Off,204426
20,32,63,63,36,On,Off,On,209919
20,32,63,94,4,Off,On,Off,206579
20,32,63,94,20,On,On,On,210207
20,32,63,94,36,Off,Off,On,210813
20,32,94,1,4,On,On,Off,205859
20,32,94,1,20,Off,Off,On,208057
20,32,94,1,36,On,Off,On,208156
20,32,94,32,4,Off,On,Off,204865
20,32,94,32,20,On,On,Off,202657
20,32,94,32,36,Off,Off,On,210987
20,32,94,63,4,On,Off,On,211643
20,32,94,63,20,Off,On,Off,201707
20,32,94,63,36,On,On,On,208132
20,32,94,94,4,Off,Off,Off,198123
20,32,94,94,20,On,On,Off,201522
20,32,94,94,36,Off,On,On,206835
20,63,1,1,4,Off,On,Off,202998
20,63,1,1,20,On,Off,On,212419
20,63,1,1,36,Off,Off,Off,204961
20,63,1,32,4,On,On,On,212189
20,63,1,32,20,Off,On,On,212417
20,63,1,32,36,On,Off,On,210201
20,63,1,63,4,Off,Off,On,211236
20,63,1,63,20,On,On,Off,206863
20,63,1,63,36,Off,On,On,213941
20,63,1,94,4,On,Off,Off,205915
20,63,1,94,20,Off,Off,Off,206040
20,63,1,94,36,On,On,On,213336
20,63,32,1,4,On,On,On,211778
20,63,32,1,20,Off,Off,Off,206619
20,63,32,1,36,On,Off,Off,203436
20,63,32,32,4,Off,Off,Off,204383
20,63,32,32,20,On,On,Off,203990
20,63,32,32,36,Off,On,On,212345
20,63,32,63,4,On,Off,Off,202935
20,63,32,63,20,Off,On,On,210734
20,63,32,63,36,On,On,On,208971
20,63,32,94,4,Off,On,On,209464
20,63,32,94,20,On,Off,On,211537
20,63,32,94,36,Off,Off,On,211490
20,63,63,1,4,Off,On,Off,204473
20,63,63,1,20,On,Off,On,208099
20,63,63,1,36,Off,On,On,206179
20,63,63,32,4,On,Off,Off,204092
20,63,63,32,20,Off,Off,Off,204234
20,63,63,32,36,On,On,Off,202242
20,63,63,63,4,Off,On,On,212974
20,63,63,63,20,On,Off,Off,204326
20,63,63,63,36,Off,Off,Off,205474
20,63,63,94,4,On,On,On,209721
20,63,63,94,20,Off,On,Off,205686
20,63,63,94,36,On,Off,Off,202641
20,63,94,1,4,Off,Off,Off,205073
20,63,94,1,20,On,On,On,209281
20,63,94,1,36,Off,On,Off,205027
20,63,94,32,4,On,On,On,212174
20,63,94,32,20,Off,Off,Off,205226
20,63,94,32,36,On,Off,Off,204921
20,63,94,63,4,Off,On,On,206346
20,63,94,63,20,On,Off,Off,208670
20,63,94,63,36,Off,On,On,213142
20,63,94,94,4,On,Off,On,211409
20,63,94,94,20,Off,On,On,209417
20,63,94,94,36,On,On,Off,204142
20,94,1,1,4,Off,Off,On,208786
20,94,1,1,20,On,On,Off,204115
20,94,1,1,36,Off,On,Off,201234
20,94,1,32,4,On,Off,Off,201467
20,94,1,32,20,Off,Off,Off,203234
20,94,1,32,36,On,On,On,211025
20,94,1,63,4,Off,On,Off,206935
20,94,1,63,20,On,Off,On,209500
20,94,1,63,36,Off,Off,On,210440
20,94,1,94,4,On,On,On,210512
20,94,1,94,20,Off,Off,On,209358
20,94,1,94,36,On,Off,Off,206204
20,94,32,1,4,On,On,On,210088
20,94,32,1,20,Off,Off,Off,207690
20,94,32,1,36,On,Off,On,207335
20,94,32,32,4,Off,On,Off,207567
20,94,32,32,20,On,On,On,207835
20,94,32,32,36,Off,Off,Off,201074
20,94,32,63,4,On,Off,Off,203688
20,94,32,63,20,Off,On,On,208219
20,94,32,63,36,On,On,Off,206960
20,94,32,94,4,Off,On,Off,203518
20,94,32,94,20,On,On,On,207353
20,94,32,94,36,Off,Off,On,205881
20,94,63,1,4,Off,On,On,211669
20,94,63,1,20,On,Off,Off,204024
20,94,63,1,36,Off,Off,On,206602
20,94,63,32,4,On,Off,On,211079
20,94,63,32,20,Off,On,On,213045
20,94,63,32,36,On,On,Off,204351
20,94,63,63,4,Off,Off,Off,208260
20,94,63,63,20,On,On,Off,204878
20,94,63,63,36,Off,On,On,209038
20,94,63,94,4,On,On,Off,209233
20,94,63,94,20,Off,On,Off,201252
20,94,63,94,36,On,Off,On,212054
20,94,94,1,4,Off,Off,On,209305
20,94,94,1,20,On,On,Off,205051
20,94,94,1,36,Off,Off,Off,203245
20,94,94,32,4,On,On,On,211169
20,94,94,32,20,Off,Off,On,210250
20,94,94,32,36,On,Off,On,212374
20,94,94,63,4,Off,On,Off,205737
20,94,94,63,20,On,Off,On,212371
20,94,94,63,36,Off,On,On,209901
20,94,94,94,4,On,Off,Off,206298
20,94,94,94,20,Off,On,On,209817
20,94,94,94,36,On,On,Off,205551
39,1,1,1,4,On,Off,Off,203090
39,1,1,1,20,Off,On,On,209963
39,1,1,1,36,On,On,Off,204873
39,1,1,32,4,Off,Off,On,207755
39,1,1,32,20,On,Off,Off,204580
39,1,1,32,36,Off,On,Off,208911
39,1,1,63,4,On,On,On,212511
39,1,1,63,20,Off,Off,Off,206796
39,1,1,63,36,On,Off,On,207393
39,1,1,94,4,Off,On,Off,202799
39,1,1,94,20,On,On,On,210868
39,1,1,94,36,Off,Off,On,210592
39,1,32,1,4,Off,Off,On,207968
39,1,32,1,20,On,Off,Off,204687
39,1,32,1,36,Off,On,On,205096
39,1,32,32,4,On,On,Off,202881
39,1,32,32,20,Off,On,On,211307
39,1,32,32,36,On,Off,On,210274
39,1,32,63,4,Off,On,Off,206395
39,1,32,63,20,On,On,On,211812
39,1,32,63,36,Off,Off,Off,203916
39,1,32,94,4,On,Off,Off,203271
39,1,32,94,20,Off,Off,On,209194
39,1,32,94,36,On,On,Off,204601
39,1,63,1,4,On,On,On,207722
39,1,63,1,20,Off,Off,Off,206425
39,1,63,1,36,On,Off,On,204562
39,1,63,32,4,Off,On,Off,203509
39,1,63,32,20,On,On,Off,202160
39,1,63,32,36,Off,Off,On,208065
39,1,63,63,4,On,Off,Off,201793
39,1,63,63,20,Off,On,On,211859
39,1,63,63,36,On,On,Off,204266
39,1,63,94,4,Off,Off,On,213611
39,1,63,94,20,On,Off,Off,202668
39,1,63,94,36,Off,On,Off,201590
39,1,94,1,4,On,Off,On,211643
39,1,94,1,20,Off,On,Off,201789
39,1,94,1,36,On,On,On,212616
39,1,94,32,4,Off,Off,Off,202877
39,1,94,32,20,On,Off,On,209728
39,1,94,32,36,Off,On,On,212105
39,1,94,63,4,On,On,Off,201749
39,1,94,63,20,Off,Off,On,214750
39,1,94,63,36,On,Off,Off,203185
39,1,94,94,4,Off,On,On,211939
39,1,94,94,20,On,On,Off,203170
39,1,94,94,36,Off,Off,Off,200834
39,32,1,1,4,Off,On,Off,206975
39,32,1,1,20,On,Off,On,209858
39,32,1,1,36,Off,Off,Off,203785
39,32,1,32,4,On,On,On,210032
39,32,1,32,20,Off,Off,Off,207288
39,32,1,32,36,On,Off,Off,206771
39,32,1,63,4,Off,Off,On,211487
39,32,1,63,20,On,On,Off,203298
39,32,1,63,36,Off,On,On,206064
39,32,1,94,4,On,Off,Off,207281
39,32,1,94,20,Off,On,On,205221
39,32,1,94,36,On,On,On,210837
39,32,32,1,4,On,On,On,212052
39,32,32,1,20,Off,On,Off,201348
39,32,32,1,36,On,Off,Off,207328
39,32,32,32,4,Off,Off,On,205968
39,32,32,32,20,On,Off,Off,205363
39,32,32,32,36,Off,On,Off,202899
39,32,32,63,4,On,Off,On,211373
39,32,32,63,20,Off,Off,Off,206148
39,32,32,63,36,On,On,On,208855
39,32,32,94,4,Off,On,Off,202077
39,32,32,94,20,On,Off,On,213279
39,32,32,94,36,Off,Off,On,212815
39,32,63,1,4,Off,Off,On,210587
39,32,63,1,20,On,On,Off,204729
39,32,63,1,36,Off,On,On,211140
39,32,63,32,4,On,Off,Off,201830
39,32,63,32,20,Off,Off,On,209698
39,32,63,32,36,On,On,On,210862
39,32,63,63,4,Off,On,Off,207308
39,32,63,63,20,On,Off,On,214073
39,32,63,63,36,Off,Off,Off,205036
39,32,63,94,4,On,On,On,210777
39,32,63,94,20,Off,Off,Off,203578
39,32,63,94,36,On,Off,Off,203982
39,32,94,1,4,Off,On,On,209012
39,32,94,1,20,On,Off,Off,202372
39,32,94,1,36,Off,Off,On,208401
39,32,94,32,4,On,On,Off,205010
39,32,94,32,20,Off,On,On,211781
39,32,94,32,36,On,Off,Off,203962
39,32,94,63,4,Off,Off,Off,202048
39,32,94,63,20,On,On,On,209780
39,32,94,63,36,Off,On,Off,201900
39,32,94,94,4,On,Off,On,209822
39,32,94,94,20,Off,Off,On,208049
39,32,94,94,36,On,On,Off,205101
39,63,1,1,4,On,On,On,210238
39,63,1,1,20,Off,Off,Off,202353
39,63,1,1,36,On,Off,On,208759
39,63,1,32,4,Off,On,Off,206257
39,63,1,32,20,On,On,On,211467
39,63,1,32,36,Off,Off,On,207757
39,63,1,63,4,On,Off,Off,205237
39,63,1,63,20,Off,On,On,207667
39,63,1,63,36,On,On,Off,205279
39,63,1,94,4,Off,Off,On,212852
39,63,1,94,20,On,Off,Off,204792
39,63,1,94,36,Off,On,Off,204432
39,63,32,1,4,Off,On,Off,204877
39,63,32,1,20,On,Off,On,210933
39,63,32,1,36,Off,On,On,209855
39,63,32,32,4,On,Off,Off,199790
39,63,32,32,20,Off,On,Off,203906
39,63,32,32,36,On,On,Off,204723
39,63,32,63,4,Off,Off,On,207199
39,63,32,63,20,On,Off,Off,202965
39,63,32,63,36,Off,Off,Off,202049
39,63,32,94,4,On,On,On,208825
39,63,32,94,20,Off,On,Off,199117
39,63,32,94,36,On,Off,On,213009
39,63,63,1,4,On,Off,Off,203475
39,63,63,1,20,Off,On,On,215596
39,63,63,1,36,On,On,Off,208229
39,63,63,32,4,Off,Off,On,211125
39,63,63,32,20,On,Off,Off,204757
39,63,63,32,36,Off,On,Off,202692
39,63,63,63,4,On,On,On,210725
39,63,63,63,20,Off,Off,Off,205782
39,63,63,63,36,Off,Off,On,207013
39,63,63,94,4,On,On,Off,205809
39,63,63,94,20,Off,On,On,208866
39,63,63,94,36,Off,Off,On,208025
39,63,94,1,4,On,On,Off,205360
39,63,94,1,20,Off,Off,On,210611
39,63,94,1,36,On,Off,On,210811
39,63,94,32,4,Off,On,On,212198
39,63,94,32,20,On,On,Off,201543
39,63,94,32,36,Off,Off,Off,201268
39,63,94,63,4,On,Off,On,213797
39,63,94,63,20,Off,On,Off,205575
39,63,94,63,36,On,On,On,210730
39,63,94,94,4,On,Off,Off,203697
39,63,94,94,20,Off,On,On,208779
39,63,94,94,36,Off,Off,On,210902
39,94,1,1,4,On,On,Off,205411
39,94,1,1,20,Off,Off,On,208622
39,94,1,1,36,On,Off,Off,204150
39,94,1,32,4,Off,On,On,205148
39,94,1,32,20,On,On,Off,204081
39,94,1,32,36,Off,Off,Off,204514
39,94,1,63,4,On,Off,On,207865
39,94,1,63,20,Off,On,Off,200672
39,94,1,63,36,On,On,On,208746
39,94,1,94,4,Off,Off,Off,206770
39,94,1,94,20,On,Off,On,210283
39,94,1,94,36,Off,On,On,209109
39,94,32,1,4,Off,Off,On,213968
39,94,32,1,20,On,On,On,210375
39,94,32,1,36,Off,On,Off,203124
39,94,32,32,4,On,Off,Off,203839
39,94,32,32,20,Off,Off,On,209000
39,94,32,32,36,On,On,On,209232
39,94,32,63,4,Off,On,Off,200525
39,94,32,63,20,On,Off,Off,202558
39,94,32,63,36,Off,Off,On,211621
39,94,32,94,4,On,On,Off,204774
39,94,32,94,20,Off,Off,Off,201414
39,94,32,94,36,On,Off,On,206321
39,94,63,1,4,On,Off,On,208447
39,94,63,1,20,Off,On,Off,204587
39,94,63,1,36,On,On,On,212616
39,94,63,32,4,Off,On,Off,204442
39,94,63,32,20,On,Off,On,210412
39,94,63,32,36,Off,Off,Off,200508
39,94,63,63,4,On,On,Off,200982
39,94,63,63,20,Off,Off,On,208880
39,94,63,63,36,On,Off,Off,204289
39,94,63,94,4,On,On,On,208402
39,94,63,94,20,Off,On,Off,207327
39,94,63,94,36,Off,Off,Off,205411
39,94,94,1,4,On,On,On,212604
39,94,94,1,20,Off,Off,Off,206167
39,94,94,1,36,On,Off,On,206654
39,94,94,32,4,Off,On,Off,201072
39,94,94,32,20,On,On,On,210579
39,94,94,32,36,Off,On,On,207801
39,94,94,63,4,On,Off,Off,201480
39,94,94,63,20,Off,On,On,212432
39,94,94,63,36,On,Off,Off,203244
39,94,94,94,4,On,Off,On,207910
39,94,94,94,20,Off,On,Off,202428
39,94,94,94,36,Off,On,On,207102
58,1,1,1,4,On,Off,On,210741
58,1,1,1,20,Off,On,Off,207948
58,1,1,1,36,On,On,On,212044
58,1,1,32,4,Off,Off,Off,203832
58,1,1,32,20,On,Off,On,211659
58,1,1,32,36,Off,On,On,210372
58,1,1,63,4,On,On,Off,202880
58,1,1,63,20,Off,Off,On,211230
58,1,1,63,36,On,Off,Off,204131
58,1,1,94,4,Off,On,On,209538
58,1,1,94,20,On,On,Off,206224
58,1,1,94,36,Off,Off,Off,205073
58,1,32,1,4,Off,Off,Off,204019
58,1,32,1,20,On,On,On,209410
58,1,32,1,36,Off,On,Off,202315
58,1,32,32,4,On,On,Off,204388
58,1,32,32,20,Off,Off,Off,204173
58,1,32,32,36,On,Off,On,207177
58,1,32,63,4,Off,On,On,212331
58,1,32,63,20,On,Off,Off,202627
58,1,32,63,36,Off,Off,On,206074
58,1,32,94,4,On,Off,On,209291
58,1,32,94,20,Off,On,On,208773
58,1,32,94,36,On,On,Off,205590
58,1,63,1,4,On,On,Off,204634
58,1,63,1,20,Off,Off,On,206098
58,1,63,1,36,On,Off,Off,203887
58,1,63,32,4,Off,On,On,209978
58,1,63,32,20,On,On,Off,205549
58,1,63,32,36,Off,Off,Off,204649
58,1,63,63,4,On,Off,On,211846
58,1,63,63,20,Off,On,Off,204695
58,1,63,63,36,On,On,On,208327
58,1,63,94,4,Off,Off,Off,206056
58,1,63,94,20,On,Off,On,211668
58,1,63,94,36,Off,On,On,210812
58,1,94,1,4,On,Off,Off,204527
58,1,94,1,20,Off,On,On,211319
58,1,94,1,36,On,On,On,210581
58,1,94,32,4,Off,Off,On,207218
58,1,94,32,20,On,Off,Off,212931
58,1,94,32,36,Off,On,Off,202144
58,1,94,63,4,On,On,On,212270
58,1,94,63,20,Off,Off,Off,206981
58,1,94,63,36,On,Off,On,213207
58,1,94,94,4,Off,On,Off,207421
58,1,94,94,20,On,Off,On,213470
58,1,94,94,36,Off,Off,On,212269
58,32,1,1,4,Off,On,On,211181
58,32,1,1,20,On,Off,Off,206318
58,32,1,1,36,Off,Off,On,209386
58,32,1,32,4,On,On,Off,202240
58,32,1,32,20,Off,On,On,209832
58,32,1,32,36,On,Off,Off,202597
58,32,1,63,4,Off,Off,Off,206816
58,32,1,63,20,On,On,On,211838
58,32,1,63,36,Off,On,Off,204372
58,32,1,94,4,On,Off,On,211442
58,32,1,94,20,Off,Off,Off,205143
58,32,1,94,36,On,On,On,210450
58,32,32,1,4,On,Off,On,213365
58,32,32,1,20,Off,On,Off,203707
58,32,32,1,36,On,On,Off,204695
58,32,32,32,4,Off,Off,On,212046
58,32,32,32,20,On,On,On,208320
58,32,32,32,36,Off,On,Off,203972
58,32,32,63,4,On,On,Off,202165
58,32,32,63,20,Off,Off,On,212420
58,32,32,63,36,On,Off,Off,202492
58,32,32,94,4,Off,On,Off,205127
58,32,32,94,20,On,Off,Off,207068
58,32,32,94,36,Off,Off,On,211711
58,32,63,1,4,Off,On,On,211083
58,32,63,1,20,On,On,On,215013
58,32,63,1,36,Off,Off,Off,204031
58,32,63,32,4,On,Off,On,210750
58,32,63,32,20,Off,Off,Off,205924
58,32,63,32,36,On,On,On,208104
58,32,63,63,4,Off,On,Off,204747
58,32,63,63,20,On,Off,Off,203574
58,32,63,63,36,Off,Off,On,207903
58,32,63,94,4,On,On,Off,206147
58,32,63,94,20,Off,On,On,213559
58,32,63,94,36,On,Off,Off,203136
58,32,94,1,4,Off,On,Off,199813
58,32,94,1,20,On,Off,On,214884
58,32,94,1,36,Off,Off,Off,202745
58,32,94,32,4,On,On,On,212096
58,32,94,32,20,Off,On,Off,206081
58,32,94,32,36,On,Off,On,208078
58,32,94,63,4,Off,Off,On,213631
58,32,94,63,20,On,On,Off,202376
58,32,94,63,36,Off,On,Off,205580
58,32,94,94,4,On,On,On,212880
58,32,94,94,20,Off,Off,Off,202996
58,32,94,94,36,On,On,Off,200223
58,63,1,1,4,On,Off,Off,200462
58,63,1,1,20,Off,On,On,213926
58,63,1,1,36,On,On,Off,202268
58,63,1,32,4,Off,Off,On,208741
